ItemId,sentiment_analysis,Developer,ReleaseYear
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,0,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,0,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,0,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,0,Tripwire Interactive,2009.0
1250,0,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,0,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
1250,1,Tripwire Interactive,2009.0
1250,2,Tripwire Interactive,2009.0
